月,週,日付,曜日,ホームチーム,ビジターチーム,時間,ホームスコア,ビジタースコア
7,Week 1,13,日,
7,Week 1,14,月,
7,Week 1,15,火,
7,Week 1,16,水,
7,Week 1,17,木,
7,Week 1,18,金,ムーンショットスピリッツ,石川ファイティングフォークス,22:00,11,1
7,Week 1,19,土,ニャンコアベンジャーズ,フロリアンTシャツ,21:30,4,8,
7,Week 1,20,日,バブルスターズ,ニャンコアベンジャーズ,21:30,4,3,
7,Week 1,20,日,フロリアンTシャツ,ムーンショットスピリッツ,21:30,7,5,
7,Week 1,21,月,
7,Week 1,22,火,
7,Week 1,23,水,石川ファイティングフォークス,レロレロス,22:00,10,6,
7,Week 1,24,木,
7,Week 2,25,金,レロレロス,ニャンコアベンジャーズ,21:30,4,1,
7,Week 2,25,金,バブルスターズ,フロリアンTシャツ,21:30,5,16,
7,Week 2,26,土,ニャンコアベンジャーズ,石川ファイティングフォークス,21:30,4,1,
7,Week 2,26,土,バブルスターズ,ムーンショットスピリッツ,21:30,3,4,
7,Week 2,27,日,石川ファイティングフォークス,フロリアンTシャツ,21:30,0,10,
7,Week 2,27,日,ムーンショットスピリッツ,レロレロス,21:30,4,8,
7,Week 2,28,月,
7,Week 2,29,火,
7,Week 2,30,水,
7,Week 2,31,木,
8,All Star Break,1,金,,,,,
8,All Star Break,2,土,オールスター戦,,,,,
8,All Star Break,3,日,,,,,
8,All Star Break,4,月,,,,,
8,All Star Break,5,火,,,,,
8,All Star Break,6,水,,,,,
8,All Star Break,7,木,,,,,
8,Week 3,8,金,バブルスターズ,石川ファイティングフォークス,21:30,,,
8,Week 3,8,金,ムーンショットスピリッツ,フロリアンTシャツ,21:30,,,
8,Week 3,9,土,フロリアンTシャツ,レロレロス,21:30,,,
8,Week 3,9,土,ニャンコアベンジャーズ,ムーンショットスピリッツ,21:30,,,
8,Week 3,10,日,レロレロス,石川ファイティングフォークス,21:30,,,
8,Week 3,10,日,ニャンコアベンジャーズ,バブルスターズ,21:30,,,
8,Week 3,11,月,
8,Week 3,12,火,
8,Week 3,13,水,
8,Week 3,14,木,
8,Week 4,15,金,フロリアンTシャツ,バブルスターズ,21:30,,,
8,Week 4,15,金,ニャンコアベンジャーズ,レロレロス,21:30,,,
8,Week 4,16,土,石川ファイティングフォークス,ニャンコアベンジャーズ,21:30,,,
8,Week 4,16,土,ムーンショットスピリッツ,バブルスターズ,21:30,,,
8,Week 4,17,日,フロリアンTシャツ,石川ファイティングフォークス,21:30,,,
8,Week 4,17,日,レロレロス,ムーンショットスピリッツ,21:30,,,
8,Week 4,18,月,
8,Week 4,19,火,
8,Week 4,20,水,
8,Week 4,21,木,
8,Week 5,22,金,フロリアンTシャツ,ニャンコアベンジャーズ,21:30,,,
8,Week 5,22,金,石川ファイティングフォークス,ムーンショットスピリッツ,21:30,,,
8,Week 5,23,土,石川ファイティングフォークス,バブルスターズ,21:30,,,
8,Week 5,23,土,レロレロス,フロリアンTシャツ,21:30,,,
8,Week 5,24,日,ムーンショットスピリッツ,ニャンコアベンジャーズ,21:30,,,
8,Week 5,24,日,バブルスターズ,レロレロス,21:30,,,   
